Date,Downwelling global solar,Upwelling solar,Direct solar,PAR,UVB,Diffuse solar,Downwelling infrared,Upwelling infrared,Air temperature,Wind,Relative humidity,Station pressure,Net solar,Net infrared,Total net radiation,Conversion factor,Transmission,Albedo,Specific humidity,Virtual temperature
2012-12,110.04,23.1,188.28,45.94,9.32,39.14,271.01,346.5,6.95,3.47,51.67,903.52,87,-75.49,11.5,0.424,0.613,0.206,3.629,7.622
2013-01,138.71,29.38,271.62,59.24,12.25,32.46,250.61,342.11,6.04,4.32,35.58,908.04,109.39,-91.5,17.88,0.432,0.692,0.208,2.378,6.438
2013-02,188.24,39.48,312.88,80.97,19.72,38.5,254.47,359.93,8.25,3.9,32.35,904.87,148.81,-105.46,43.34,0.432,0.717,0.208,2.332,8.659
2013-03,240.63,49.04,305.23,104.29,34.73,62.97,287.84,402.55,15.23,3.84,26.07,902.74,191.64,-115.07,77.94,0.437,0.701,0.202,2.863,15.724
2013-04,299.25,62.46,361.53,131.11,49.23,66.86,295.59,427.41,18.29,4.36,20.04,899.55,236.83,-132.26,94.47,0.44,0.73,0.208,2.799,18.767
2013-05,336.25,69.15,390.72,146.45,59.73,70.5,315.68,457.77,22.27,4.7,20.98,899.38,267.14,-142.09,125.05,0.439,0.721,0.205,3.586,22.891
2013-06,360.85,74.85,436,155.74,68.95,62.06,346.34,505.62,29.77,4.36,12.85,897.17,286.03,-159.28,126.76,0.432,0.745,0.207,3.8,30.438
2013-07,308.37,63.25,325.17,137.13,61.55,84.03,389.58,517.14,31.77,3.91,25.28,899.38,245.17,-127.57,117.62,0.456,0.652,0.204,7.665,33.133
2013-08,297.98,60.26,355.56,130.83,57.12,65.54,365.09,495,29.25,3.89,24.03,900.72,237.75,-129.9,107.84,0.444,0.69,0.201,6.57,30.413
2013-09,250.65,51.33,322.48,110.44,42.48,58.18,348.52,463.3,24.73,4.23,31.76,899.49,199.37,-114.78,84.58,0.444,0.688,0.204,7.019,25.972
2013-10,202.77,42.73,332.89,88.43,25.99,36.77,290.36,404.21,16.54,3.6,28.55,902.61,160.07,-113.85,46.22,0.438,0.714,0.209,3.372,17.122
2013-11,135.83,28.6,241.26,60.26,14.89,34.38,285,371.25,11.99,2.9,41.38,905.19,107.26,-86.25,21.01,0.452,0.633,0.209,3.671,12.621
2013-12,128.93,27.7,277.72,55.98,10.63,26.9,252.96,343.05,7.04,3.76,36.64,907.85,101.28,-90.09,11.18,0.436,0.711,0.212,2.492,7.464
2014-01,133.77,28.49,241,58.3,12.54,38.32,268.1,358.66,10.58,3.15,25.53,907.99,105.3,-90.56,14.73,0.439,0.669,0.211,2.164,10.942
2014-02,168.8,35.29,237.71,74.55,18.96,53.77,276.06,370.49,10.96,2.87,33.78,902.9,133.54,-94.42,39.2,0.447,0.645,0.207,2.863,11.443
2014-03,239.42,49.95,304.74,104.7,32.84,64.55,281.43,396.7,14.15,4.11,28.59,903.12,189.51,-115.27,74.24,0.44,0.698,0.207,2.958,14.661
2014-04,284.71,59.54,321.48,124.5,44.72,77.27,294.95,424.51,17.81,4.53,20.25,900.38,225.22,-129.5,95.72,0.439,0.695,0.208,2.621,18.258
2014-05,334.19,70.07,367.06,146.41,58.48,81.84,313.4,459.19,22.83,5.01,16.69,899.41,264.15,-145.8,118.35,0.438,0.716,0.209,2.85,23.32
2014-06,365.41,77.48,445.57,160.17,70.36,58.86,334.39,499.09,28.71,4.42,10.75,895.94,287.94,-164.7,123.24,0.439,0.755,0.211,3.007,29.239
2014-07,316.56,65.4,347,144.26,66.55,77.29,383.45,516.57,31.77,4.11,20.89,900.83,251.34,-133.12,118.12,0.459,0.666,0.205,6.562,32.931
2014-08,290.18,59.06,354.98,129.55,55.3,58.7,358.3,485.43,28.17,3.67,25.66,900.94,231.2,-127.13,104.05,0.452,0.675,0.201,6.29,29.28
2014-09,262.66,54.21,371.6,117.81,45.71,42.06,348.2,473.76,26.66,3.31,26.28,899.45,208.47,-125.56,82.92,0.45,0.72,0.205,6.054,27.73
2014-10,209.25,44.49,336.95,92.31,29.99,36.05,309.82,429.32,21.13,3.18,19.62,902.67,164.78,-119.5,45.28,0.442,0.735,0.212,3.383,21.716
2014-11,152.25,33.43,287.37,67.4,16.09,32.86,276.75,377.07,12.94,3.39,26.44,905.76,118.86,-100.32,18.58,0.443,0.709,0.217,2.731,13.408
